CE0001,100.00,99.00,1.00,20.00,0.1,0.2,0.3,0.4,0.5,0.6,0.7
CE0002,99.00,89.00,2.50,30.06,0.14,0.22,0.34,0.41,0.56,0.66,0.71
CE0003,150.23,9.00,10.00,23.30,0.14,0.12,0.34,0.14,0.53,0.26,0.74 
CE0004,43.0,76.70,12.67,50.80,0.61,0.32,0.43,0.34,0.25,0.63,0.17
CE0005,150.9,102.51,51.97,2.00,0.11,0.22,0.33,0.44,0.55,0.66,0.77
CE0006,89.00,12.53,17.68,12.36,0.34,0.62,0.46,0.16,0.55,0.34,0.98
CE0007,99.00,11.00,7.0,52.25,0.1,0.2,0.73,0.4,0.55,0.26,0.57
CE0008,260.60,42.00,1.3,2.1,0.88,0.87,0.63,0.63,0.16,0.62,0.76
CE0009,90.50,35.00,14.50,5.5,0.10,0.12,0.30,0.00,0.00,0.00,0.66
CE0010,101,90,88.71,93.27,0.27,0.27,0.27,0.92,0.34,0.71,0.5
